真实体质,预测体质,Top3特征,重合度
痰湿质,痰湿质,"肢体困重, 口黏腻, 胸闷痰多",67%
血瘀质,血瘀质,"肤色晦暗, 唇色紫暗, 刺痛部位",100%
平和质,平和质,"精力充沛, 适应力强, 睡眠良好",67%
特禀质,特禀质,"过敏史, 皮肤瘙痒, 喷嚏流涕",100%
气郁质,气郁质,"情绪低落, 胸胁胀满, 咽部异物感",100%
气郁质,气郁质,"咽部异物感, 胸胁胀满, 情绪低落",100%
特禀质,特禀质,"喷嚏流涕, 哮喘, 皮肤瘙痒",67%
阳虚质,阳虚质,"畏寒怕冷, 四肢不温, 精神不振",67%
平和质,平和质,"精力充沛, 适应力强, 情绪稳定",67%
阴虚质,阴虚质,"口干咽燥, 五心烦热, 潮热盗汗",100%
阴虚质,阴虚质,"五心烦热, 大便干结, 口干咽燥",67%
气郁质,气郁质,"情绪低落, 咽部异物感, 失眠多梦",67%
血瘀质,血瘀质,"刺痛部位, 唇色紫暗, 经血色暗",67%
阴虚质,阴虚质,"口干咽燥, 五心烦热, 失眠多梦",67%
湿热质,湿热质,"面垢油光, 口苦口臭, 大便黏滞",100%
气郁质,气郁质,"咽部异物感, 情绪低落, 失眠多梦",67%
气虚质,气虚质,"易感冒, 自汗, 气短懒言",67%
气郁质,气郁质,"情绪低落, 胸胁胀满, 咽部异物感",100%
平和质,平和质,"精力充沛, 适应力强, 睡眠良好",67%
气虚质,气虚质,"易感冒, 气短懒言, 精神不振",33%
气虚质,气虚质,"气短懒言, 自汗, 神疲乏力",100%
平和质,平和质,"精力充沛, 睡眠良好, 情绪稳定",100%
气虚质,气虚质,"易感冒, 神疲乏力, 气短懒言",67%
气虚质,气虚质,"易感冒, 神疲乏力, 气短懒言",67%
特禀质,特禀质,"过敏史, 皮肤瘙痒, 喷嚏流涕",100%
气虚质,气虚质,"易感冒, 气短懒言, 自汗",67%
特禀质,特禀质,"过敏史, 喷嚏流涕, 哮喘",67%
特禀质,特禀质,"过敏史, 喷嚏流涕, 皮肤瘙痒",100%
血瘀质,血瘀质,"肤色晦暗, 刺痛部位, 经血色暗",67%
平和质,平和质,"精力充沛, 睡眠良好, 情绪稳定",100%
痰湿质,痰湿质,"肢体困重, 形体肥胖, 大便黏滞",67%
气虚质,气虚质,"神疲乏力, 气短懒言, 自汗",100%
阴虚质,阴虚质,"口干咽燥, 五心烦热, 潮热盗汗",100%
气虚质,气虚质,"神疲乏力, 易感冒, 气短懒言",67%
气郁质,气郁质,"胸胁胀满, 咽部异物感, 失眠多梦",67%
气虚质,气虚质,"神疲乏力, 气短懒言, 易感冒",67%
平和质,平和质,"睡眠良好, 精力充沛, 适应力强",67%
气郁质,气郁质,"胸胁胀满, 情绪低落, 咽部异物感",100%
湿热质,湿热质,"口苦口臭, 身重困倦, 面垢油光",67%
湿热质,湿热质,"面垢油光, 经血色暗, 身重困倦",33%
血瘀质,血瘀质,"刺痛部位, 肤色晦暗, 唇色紫暗",100%
痰湿质,痰湿质,"形体肥胖, 胸闷痰多, 肢体困重",100%
特禀质,特禀质,"过敏史, 喷嚏流涕, 哮喘",67%
气虚质,气虚质,"易感冒, 气短懒言, 神疲乏力",67%
平和质,平和质,"精力充沛, 情绪稳定, 适应力强",67%
湿热质,湿热质,"面垢油光, 大便黏滞, 身重困倦",67%
阳虚质,阳虚质,"畏寒怕冷, 喜热饮食, 四肢不温",100%
特禀质,特禀质,"过敏史, 皮肤瘙痒, 喷嚏流涕",100%
阳虚质,阳虚质,"畏寒怕冷, 四肢不温, 喜热饮食",100%
湿热质,湿热质,"口苦口臭, 面垢油光, 大便黏滞",100%
痰湿质,痰湿质,"肢体困重, 形体肥胖, 口黏腻",67%
阳虚质,阳虚质,"畏寒怕冷, 四肢不温, 喜热饮食",100%
血瘀质,血瘀质,"肤色晦暗, 刺痛部位, 唇色紫暗",100%
血瘀质,血瘀质,"肤色晦暗, 刺痛部位, 经血色暗",67%
痰湿质,痰湿质,"胸闷痰多, 形体肥胖, 口黏腻",67%
阳虚质,阳虚质,"畏寒怕冷, 四肢不温, 喜热饮食",100%
特禀质,特禀质,"过敏史, 喷嚏流涕, 哮喘",67%
湿热质,湿热质,"面垢油光, 口苦口臭, 大便黏滞",100%
湿热质,湿热质,"面垢油光, 口苦口臭, 身重困倦",67%
特禀质,特禀质,"过敏史, 皮肤瘙痒, 喷嚏流涕",100%
气虚质,气虚质,"易感冒, 自汗, 气短懒言",67%
湿热质,湿热质,"面垢油光, 口苦口臭, 身重困倦",67%
痰湿质,痰湿质,"肢体困重, 形体肥胖, 胸闷痰多",100%
特禀质,特禀质,"喷嚏流涕, 皮肤瘙痒, 唇色紫暗",67%
气虚质,气虚质,"易感冒, 气短懒言, 自汗",67%
特禀质,特禀质,"过敏史, 皮肤瘙痒, 喷嚏流涕",100%
阳虚质,阳虚质,"四肢不温, 畏寒怕冷, 喜热饮食",100%
特禀质,特禀质,"喷嚏流涕, 过敏史, 皮肤瘙痒",100%
血瘀质,血瘀质,"经血色暗, 刺痛部位, 肤色晦暗",67%
阴虚质,阴虚质,"口干咽燥, 大便干结, 五心烦热",67%
特禀质,特禀质,"喷嚏流涕, 皮肤瘙痒, 过敏史",100%
气虚质,气虚质,"神疲乏力, 气短懒言, 自汗",100%
痰湿质,痰湿质,"形体肥胖, 肢体困重, 大便黏滞",67%
特禀质,特禀质,"过敏史, 喷嚏流涕, 哮喘",67%
阳虚质,阳虚质,"畏寒怕冷, 四肢不温, 喜热饮食",100%
特禀质,特禀质,"过敏史, 哮喘, 喷嚏流涕",67%
平和质,平和质,"情绪稳定, 适应力强, 睡眠良好",67%
平和质,平和质,"精力充沛, 情绪稳定, 睡眠良好",100%
特禀质,特禀质,"过敏史, 皮肤瘙痒, 哮喘",67%
平和质,平和质,"适应力强, 精力充沛, 睡眠良好",67%
阴虚质,阴虚质,"口干咽燥, 五心烦热, 潮热盗汗",100%
阳虚质,阳虚质,"畏寒怕冷, 四肢不温, 喜热饮食",100%
阳虚质,阳虚质,"喜热饮食, 畏寒怕冷, 四肢不温",100%
平和质,平和质,"精力充沛, 适应力强, 情绪稳定",67%
湿热质,湿热质,"面垢油光, 身重困倦, 大便黏滞",67%
血瘀质,血瘀质,"刺痛部位, 肤色晦暗, 唇色紫暗",100%
特禀质,特禀质,"过敏史, 喷嚏流涕, 哮喘",67%
湿热质,湿热质,"口苦口臭, 身重困倦, 大便黏滞",67%
气虚质,气虚质,"易感冒, 气短懒言, 神疲乏力",67%
痰湿质,痰湿质,"肢体困重, 形体肥胖, 胸闷痰多",100%
阳虚质,阳虚质,"畏寒怕冷, 喜热饮食, 精神不振",67%
气虚质,气虚质,"气短懒言, 易感冒, 神疲乏力",67%
痰湿质,痰湿质,"形体肥胖, 胸闷痰多, 口黏腻",67%
平和质,平和质,"精力充沛, 睡眠良好, 适应力强",67%
气虚质,气虚质,"气短懒言, 自汗, 精神不振",67%
阳虚质,阳虚质,"畏寒怕冷, 四肢不温, 喜热饮食",100%
气郁质,气郁质,"胸胁胀满, 情绪低落, 咽部异物感",100%
气虚质,气虚质,"易感冒, 神疲乏力, 自汗",67%
